index	name_c	name_j	name_e	price	shadow_size	place	N_month	S_month	time	remark
1	紅目鯽	タナゴ	Bitterling	900	極小	河川	1;2;3;11;12	5;6;7;8;9	全天	
2	溪哥	オイカワ	Pale chub	200	極小	河川	1;2;3;4;5;6;7;8;9;10;11;12	1;2;3;4;5;6;7;8;9;10;11;12	9點-16點	
3	鯽魚	フナ	Crucian carp	160	小	河川	1;2;3;4;5;6;7;8;9;10;11;12	1;2;3;4;5;6;7;8;9;10;11;12	全天	
4	珠星三塊魚	ウグイ	Dace	240	中	河川	1;2;3;4;5;6;7;8;9;10;11;12	1;2;3;4;5;6;7;8;9;10;11;12	16點-9點	
5	鯉魚	コイ	Carp	300	大	池塘	1;2;3;4;5;6;7;8;9;10;11;12	1;2;3;4;5;6;7;8;9;10;11;12	全天	
6	錦鯉	ニシキゴイ	Koi	4000	大	池塘	1;2;3;4;5;6;7;8;9;10;11;12	1;2;3;4;5;6;7;8;9;10;11;12	16點-9點	
7	金魚	キンギョ	Goldfish	1300	極小	池塘	1;2;3;4;5;6;7;8;9;10;11;12	1;2;3;4;5;6;7;8;9;10;11;12	全天	
8	龍睛金魚	デメキン	Pop-eyed goldfish	1300	極小	池塘	1;2;3;4;5;6;7;8;9;10;11;12	1;2;3;4;5;6;7;8;9;10;11;12	9點-16點	
9	蘭壽金魚	ランチュウ	Ranchu goldfish	4500	小	池塘	1;2;3;4;5;6;7;8;9;10;11;12	1;2;3;4;5;6;7;8;9;10;11;12	9點-16點	
10	稻田魚	メダカ	Killifish	300	極小	池塘	4;5;6;7;8	1;2;10;11;12	全天	
11	淡水龍蝦	ザリガニ	Crawfish	200	小	池塘	4;5;6;7;8;9	1;2;3;10;11;12	全天	
12	鱉	スッポン	Soft-shelled turtle	3750	大	河川	8;9	2;3	16點-9點	
13	擬鱷龜	カミツキガメ	Snapping turtle	5000	大	河川	4;6;7;8;9;10	1;2;3;4;10;11;12	21點-4點	
14	蝌蚪	オタマジャクシ	Tadpole	100	極小	池塘	3;4;5;6;7	1;9;10;11;12	全天	
15	青蛙	カエル	Frog	120	小	池塘	5;6;7;8	1;2;11;12	全天	
16	塘鱧魚	ドンコ	Freshwater goby	400	小	河川	1;2;3;4;5;6;7;8;9;10;11;12	1;2;3;4;5;6;7;8;9;10;11;12	16點-9點	
17	泥鰍	ドジョウ	Loach	400	小	河川	3;4;5	9;10;11	全天	
18	鯰魚	ナマズ	Catfish	800	大	池塘	5;6;7;8;9;10	1;2;3;4;11;12	16點-9點	
19	黑魚	ライギョ	Giant snakehead	5500	中	池塘	6;7;8	1;2;12	9點-16點	
20	藍鰓太陽魚	ブルーギル	Bluegill	180	小	河川	1;2;3;4;5;6;7;8;9;10;11;12	1;2;3;4;5;6;7;8;9;10;11;12	9點-16點	
21	黃鱸魚	イエローパーチ	Yellow perch	300	中	河川	1;2;3;10;11;12	4;5;6;7;8;9	全天	
22	黑鱸魚	ブラックバス	Black bass	400	大	河川	1;2;3;4;5;6;7;8;9;10;11;12	1;2;3;4;5;6;7;8;9;10;11;12	全天	
23	吳郭魚	ティラピア	Tilapia	800	中	河川	6;7;8;9;10	1;2;3;4;12	全天	
24	白斑狗魚	パイク	Pike	1800	大	河川	9;10;11;12	3;4;5;6	全天	
