id,name_e,name_j,name_c,realArtworkTitle,realArtworkTitle_tw,artist,museumDescription,obtainedFrom,filename,haveFake,interact,itemCategory,themes,tag,size,realArtImage
2,scenic painting,みごとなめいが,優美的名畫,The Hunters in The Snow,雪中獵人,老彼得‧布勒哲爾 1565年 [油彩‧木板],布勒哲爾是文藝復興後期的風景畫家，多以農民生活為題材，因此也有人稱之為「農民畫家」。近處描繪了打獵失敗而疲憊不堪的獵人們，遠處則是在結冰的湖面上開心滑冰的人們，這樣的對比相當耐人尋味。,狐利-九尾市場,FtrArtHunterSnow,True,False,Wall-mounted,"['昂貴', '設施']",圖畫,2.0x1.5,https://upload.wikimedia.org/wikipedia/commons/d/d8/Pieter_Bruegel_the_Elder_-_Hunters_in_the_Snow_%28Winter%29_-_Google_Art_Project.jpg
6,graceful painting,しなやかなめいが,端莊的名畫,Beauty Looking Back,回眸美人圖,菱川師宣 17世紀 [絹本著色],這幅畫為江戶時代前期浮世繪始祖菱川師宣的手繪浮世繪作品，並非版畫。描繪一名優雅自信的女性，身上穿著當時盛行的服飾，回眸一看的瞬間，其姿態極富情感。,狐利-九尾市場,FtrArtMikaeri,True,False,Wall-mounted,"['昂貴', '設施']",圖畫,1.0x2.0,https://upload.wikimedia.org/wikipedia/commons/7/7f/Beauty_looking_back.jpg
10,quaint painting,おちついためいが,平靜的名畫,The Milkmaid,倒牛奶的女僕,約翰尼斯‧維梅爾 1658年左右 [油彩‧畫布],維梅爾擅長以精準的構圖和巧妙的光影來表現，因此又被稱為「光的畫家」。此為其25歲時的作品。沒想到如此年輕。,狐利-九尾市場,FtrArtMilkmaid,True,False,Wall-mounted,"['昂貴', '設施']",圖畫,1.0x1.0,https://upload.wikimedia.org/wikipedia/commons/2/20/Johannes_Vermeer_-_Het_melkmeisje_-_Google_Art_Project.jpg
14,basic painting,いさましいめいが,勇敢的名畫,The Blue Boy,穿藍衣的少年,托馬斯‧庚斯博羅 1770年 [油彩‧畫布],庚斯博羅留有多幅肖像畫，經常使用有別於傳統肖像畫的新穎顏色。《穿藍衣的少年》為其中之一。庚斯博羅說過「肖像畫是為了賺錢，風景畫才是愛好」，但諷刺的是，其肖像畫對近代英國繪畫卻有極大的影響。,狐利-九尾市場,FtrArtBlueBoy,True,False,Wall-mounted,"['昂貴', '設施']",圖畫,1.0x2.0,https://upload.wikimedia.org/wikipedia/commons/7/7e/Thomas_Gainsborough_-_The_Blue_Boy_%28The_Huntington_Library%2C_San_Marino_L._A.%29.jpg
18,famous painting,ゆうめいなめいが,有名的名畫,Mona Lisa,蒙娜麗莎,李奧納多‧達文西 1503年左右 [油彩‧木板],世界上最有名的微笑。達文西直到臨終前都不願放手的名作。直到現在，仍有一大群人想找出並解開這幅畫的種種謎團。可說是相當具有魅力的畫作。,狐利-九尾市場,FtrArtMonaLisa,True,False,Wall-mounted,"['昂貴', '設施']",圖畫,1.0x1.0,https://upload.wikimedia.org/wikipedia/commons/e/ec/Mona_Lisa%2C_by_Leonardo_da_Vinci%2C_from_C2RMF_retouched.jpg
20,perfect painting,すばらしいめいが,厲害的名畫,Apples and Oranges,蘋果和柳橙的靜物,保羅‧塞尚 1899年左右 [油彩‧畫布],「近代繪畫之父」塞尚與畢卡索同為對後代影響深遠的畫家。而這幅靜物畫正是塞尚所繪製的。此畫作並非將眼前所見真實地描繪出來，而是從不同視角表現出結構之美。不只讓人有靜物漂浮的感受，同時也描繪出觀賞者的內心，是一幅前所未有的畫作。,狐利-九尾市場,FtrArtAppleOrange,False,False,Wall-mounted,"['昂貴', '設施']",圖畫,1.0x1.0,https://ss.net.tw/images/product_images/popup_images/1116_01551828110.jpg
24,serene painting,たおやかなめいが,婀娜的名畫,Lady with an Ermine,抱銀貂的女子,李奧納多‧達文西 1490年左右 [油彩‧木板],達文西創作的女性肖像畫，包含《蒙娜麗莎》在內，僅有四幅。這是其中一幅。也有人說抱著的其實不是銀貂，而是白毛的雪貂。,狐利-九尾市場,FtrArtPortraitCecilia,True,False,Wall-mounted,"['昂貴', '設施']",圖畫,1.0x1.0,https://upload.wikimedia.org/wikipedia/commons/e/ed/Dama_z_gronostajem.jpg
28,wistful painting,すてきなめいが,漂亮的名畫,Girl with a Pearl Earring,戴珍珠耳環的少女,約翰尼斯‧維梅爾 1665年左右 [油彩‧畫布],這幅畫作不惜使用當時要價不斐的群青色顏料畫出格外引人注目的鮮豔藍色，因此也有人稱之為《藍色頭巾的少女》。據說也有人認為那副耳環原本並非真的珍珠。,狐利-九尾市場,FtrArtPearlEarring,True,False,Wall-mounted,"['昂貴', '設施']",圖畫,1.0x1.0,https://upload.wikimedia.org/wikipedia/commons/d/d7/Meisje_met_de_parel.jpg
32,moving painting,きれいなめいが,動人的名畫,The Birth of Venus,維納斯的誕生,山德羅·波提且利 1485年左右 [蛋彩‧畫布],這幅畫描繪了希臘羅馬神話中的女神維納斯站在貝殼上從海面誕生的姿態。波提且利原本是一個外號，來自他那位胖得跟酒桶一樣的哥哥。不過，為什麼會繼承哥哥的外號，就不得而知了。這是一幅知名的畫作，相信資深設計師對它尤其熟悉。,狐利-九尾市場,FtrArtBirthVenus,True,False,Wall-mounted,"['昂貴', '設施']",圖畫,2.0x1.5,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Sandro_Botticelli_-_La_nascita_di_Venere_-_Google_Art_Project_-_edited.jpg/1280px-Sandro_Botticelli_-_La_nascita_di_Venere_-_Google_Art_Project_-_edited.jpg
34,warm painting,いいかんじのめいが,舒適的名畫,The Clothed Maja,著衣的馬哈,法蘭西斯科‧哥雅 1805年左右 [油彩‧畫布],哥雅是活躍於18世紀後半到19世紀前半的西班牙大畫家。《著衣的馬哈》與另一幅《裸體的馬哈》，兩幅畫是一對的作品。據說當時是為了掩飾而畫的。「馬哈」的意思是「漂亮的馬德里姑娘」，並非人名。,狐利-九尾市場,FtrArtClothedMaja,False,False,Wall-mounted,"['昂貴', '設施']",圖畫,2.0x1.0,https://upload.wikimedia.org/wikipedia/commons/a/a6/Goya_Maja_ubrana2.jpg
38,dynamic painting,いきなめいが,磅礡的名畫,Thirty-Six Views of Mount Fuji The Great Wave off Kanagawa,富嶽三十六景-神奈川沖浪裏,葛飾北齋 1831年左右 [木版畫],這是江戶時代後期極具代表性的浮世繪畫家葛飾北齋於60歲後開始著手的系列中最具代表性的一幅。原有三十六景，後來又追加了十景，共有四十六景。,狐利-九尾市場,FtrArtKanagawaOki,False,False,Wall-mounted,"['昂貴', '設施']",圖畫,1.0x1.0,https://upload.wikimedia.org/wikipedia/commons/a/a5/Tsunami_by_hokusai_19th_century.jpg
42,jolly painting,おもしろいめいが,有趣的名畫,Summer,四季「夏季」,朱塞佩·阿爾欽博托 1573年左右 [油彩‧畫布],這是16世紀後半義大利的奇想畫家阿爾欽博托最擅長的奇幻風格肖像畫。仔細一看會發現這張人的側臉是由水果和蔬菜組合而成的。,狐利-九尾市場,FtrArtSummer,True,False,Wall-mounted,"['昂貴', '設施']",圖畫,1.0x1.0,https://upload.wikimedia.org/wikipedia/commons/9/9a/Giuseppe_Arcimboldo_-_Summer%2C_1573.jpg
44,common painting,よくみるめいが,常見的名畫,The Gleaners,拾穗,尚-法蘭索瓦‧米勒 1857年 [油彩‧畫布],這是19世紀法國畫家米勒的代表作品。其畫作多以農民貧窮的日常生活為題材。遠處是農場地主和佃農們的收穫情景，而近處則是描繪貧窮的人們撿拾掉落在田地上的麥穗。據說當時會為了貧窮的人們故意在收穫時留下一點麥穗。,狐利-九尾市場,FtrArtGleaners,False,False,Wall-mounted,"['昂貴', '設施']",圖畫,1.0x1.0,https://upload.wikimedia.org/wikipedia/commons/1/1f/Jean-Fran%C3%A7ois_Millet_-_Gleaners_-_Google_Art_Project_2.jpg
