name_c,name_j,name_e,category,filename,obtainedFrom,sell,buy
竹棒,たけのステッキ,bamboo wand,工具,ToolStickBamboo,['DIY'],3900,
蟲子棒,ムシのステッキ,bug wand,工具,ToolStcikInsect,['捕蟲大會'],1500,
復活節棒,イースターなステッキ,Bunny Day wand,工具,ToolStickEgg,['DIY'],11100,
櫻花棒,さくらのステッキ,cherry-blossom wand,工具,ToolStickCherryblossom,['DIY'],2700,
波斯菊棒,コスモスのステッキ,cosmos wand,工具,ToolStickCosmos,['DIY'],1580,
魚兒棒,おサカナのステッキ,fish wand,工具,ToolStickFish,['活動：釣魚大賽'],1500,
黃金棒,おうごんのステッキ,golden wand,工具,ToolStickGolden,['DIY'],20750,
風信子棒,ヒヤシンスのステッキ,hyacinth wand,工具,ToolStickHyacinth,['DIY'],1660,
冰之棒,こおりのステッキ,ice wand,工具,ToolStickSnow,['DIY'],6500,
鐵棒,てつのステッキ,iron wand,工具,ToolStickIron,['DIY'],3750,
螢光棒,スティックライト,light stick,工具,ToolSticklight,['西施惠'],375,1500
百合棒,ユリのステッキ,lily wand,工具,ToolStickYuri,['DIY'],1580,
菊花棒,キクのステッキ,mums wand,工具,ToolStickChrysanthemum,['DIY'],1580,
蘑菇棒,キノコのステッキ,mushroom wand,工具,ToolStickMushroom_Remake_0_0,['DIY'],3300,
三色堇棒,パンジーのステッキ,pansy wand,工具,ToolStickPansy,['DIY'],1580,
玫瑰棒,バラのステッキ,rose wand,工具,ToolStickRose,['DIY'],1580,
貝殼棒,かいがらのステッキ,shell wand,工具,ToolStickShell,['DIY'],5100,
星星棒,スターなステッキ,star wand,工具,ToolChangeStick,['DIY'],6500,
樹枝棒,きのえだのステッキ,tree-branch wand,工具,ToolStickTree,['DIY'],1550,
鬱金香棒,チューリップのステッキ,tulip wand,工具,ToolStickTulip,['DIY'],1580,
銀蓮花棒,アネモネのステッキ,windflower wand,工具,ToolStickAnemones,['DIY'],1580,
蘋果雨傘,リンゴのかさ,apple umbrella,雨傘,UmbrellaApple0,['DIY'],1400,
蝙蝠雨傘,こうもりがさ,bat umbrella,雨傘,UmbrellaBat0,['Nook商店'],210,840
沙灘傘,ビーチなかさ,beach umbrella,雨傘,UmbrellaBeach0,['Nook商店'],192,770
熊熊雨傘,クマのかさ,bear umbrella,雨傘,UmbrellaBear0,['Nook商店'],392,1570
黑色典雅雨傘,くろいシックなかさ,black chic umbrella,雨傘,UmbrellaPacodarace5,['Nook商店'],405,1620
黑色蕾絲雨傘,くろいレースのかさ,black lace umbrella,雨傘,UmbrellaRace0,['Nook商店'],187,750
藍色圓點雨傘,あおいみずたまのかさ,blue dot parasol,雨傘,UmbrellaPolkadot2,['Nook商店'],187,750
