id,name_e,name_j,name_c,category,filename,sell,materials,obtainedFrom,sourceNotes
6,juicy-apple TV,リンゴのテレビ,蘋果電視,家具,FtrFruitsTV_Remake_0_0,200,"[{'count': 10, 'itemName': '蘋果'}, {'count': 2, 'itemName': '鐵礦石'}]","['大姐姐型村民', '狸克']",Obtained during the main storyline during the villager house development quest if the native fruit is apples
9,pear wardrobe,ナシのクロゼット,梨子衣櫃,家具,FtrFruitsClosetLR_Remake_0_0,200,"[{'count': 10, 'itemName': '梨子'}, {'count': 5, 'itemName': '木材'}]","['運動型村民', '狸克']",Obtained during the main storyline during the villager house development quest if the native fruit is pears
10,flimsy axe,ショボいオノ,簡陋斧頭,工具,ToolAxeStone,200,"[{'count': 5, 'itemName': '樹枝'}, {'count': 1, 'itemName': '石頭'}]","['狸克', 'Nook商店']",Obtained through Tom Nook's DIY Workshop at the beginning of the game and can also be purchased at Nook's Cranny
13,campfire,たきび,炊火,家具,FtrBonfire,200,"[{'count': 3, 'itemName': '樹枝'}]",['狸克'],Obtained from Tom Nook after completing his DIY Workshop at the beginning of the game
14,doghouse,いぬごや,狗屋,家具,FtrDoghouse_Remake_0_0,200,"[{'count': 10, 'itemName': '木材'}, {'count': 7, 'itemName': '硬木材'}]",['運動型村民'],
15,wooden chair,もくせいチェア,木製椅,家具,FtrWoodenChairS_Remake_0_0,200,"[{'count': 6, 'itemName': '木材'}]","['狸克', '成熟型村民']",在村民房屋開發任務的主要故事情節中獲得
16,wooden bucket,もくせいのバケツ,木製水桶,家具,FtrBucketWood,200,"[{'count': 3, 'itemName': '木材'}, {'count': 1, 'itemName': '鐵礦石'}]","['狸克', '自戀型村民']",50% chance of being obtained during the main storyline during the villager house development quest
17,wooden chest,もくせいチェスト,木製矮櫃,家具,FtrWoodenChest_Remake_0_0,200,"[{'count': 16, 'itemName': '木材'}]",['悠閒型村民'],
18,wooden simple bed,もくせいシングルベッド,木製單人床,家具,FtrWoodenBedS_Remake_0_0,200,"[{'count': 18, 'itemName': '木材'}]","['狸克', '悠閒型村民']",在村民房屋開發任務的主要故事情節中獲得
19,flimsy shovel,ショボいスコップ,簡陋鏟子,工具,ToolShovelWood,200,"[{'count': 5, 'itemName': '硬木材'}]","['傅達', 'Nook商店']",
20,flimsy watering can,ショボいジョウロ,簡陋澆花壺,工具,ToolWateringWood,200,"[{'count': 5, 'itemName': '軟木材'}]","['狸克', 'Nook商店']",
21,flimsy fishing rod,ショボいつりざお,簡陋釣竿,工具,ToolFishingrodWood,200,"[{'count': 5, 'itemName': '樹枝'}]",['狸克'],Obtained through Tom Nook's DIY Workshop at the beginning of the game
22,flimsy net,ショボいあみ,簡陋捕蟲網,工具,ToolNet,200,"[{'count': 5, 'itemName': '樹枝'}]",['狸克'],Obtained from Tom Nook after completing his DIY Workshop at the beginning of the game
23,wooden-block bench,つみきベンチ,積木長椅,家具,FtrBlockChairL_Remake_0_0,200,"[{'count': 1, 'itemName': '積木玩具'}, {'count': 4, 'itemName': '軟木材'}]",['大姐姐型村民'],
24,wooden-block chest,つみきチェスト,積木矮櫃,家具,FtrBlockChest_Remake_0_0,200,"[{'count': 1, 'itemName': '積木玩具'}, {'count': 12, 'itemName': '軟木材'}]",['普通型村民'],
26,wooden-block table,つみきテーブル,積木桌,家具,FtrBlockTableL_Remake_0_0,200,"[{'count': 1, 'itemName': '積木玩具'}, {'count': 8, 'itemName': '軟木材'}]","['狸克', '大姐姐型村民']",在村民房屋開發任務的主要故事情節中獲得
29,slingshot,パチンコ,彈弓,工具,ToolSlingshot_Remake_0_0,200,"[{'count': 5, 'itemName': '硬木材'}]",['Nook商店'],
30,aroma pot,アロマポット,薰香台,小物件,FtrAlomapot_Remake_0_0,200,"[{'count': 3, 'itemName': '黏土'}]",['成熟型村民'],
32,mush table,キノコのテーブル,蘑菇桌,家具,FtrMushroomTableL_Remake_0_0,200,"[{'count': 2, 'itemName': '扁平蘑菇'}, {'count': 6, 'itemName': '木材'}]",['氣球'],僅在蘑菇季節期間獲得
33,tea table,ちゃぶだい,茶几,家具,FtrDiningtableJapan_Remake_0_0,200,"[{'count': 12, 'itemName': '硬木材'}]",['暴躁型村民'],
34,bonfire,キャンプファイア,營火,家具,FtrCampfire,200,"[{'count': 1, 'itemName': '炊火'}, {'count': 10, 'itemName': '木材'}]","['狸克', '暴躁型村民']",
35,ironwood table,アイアンウッドテーブル,鑄鐵木桌,家具,FtrIronwoodTableL_Remake_0_0,200,"[{'count': 12, 'itemName': '木材'}, {'count': 6, 'itemName': '鐵礦石'}]",['暴躁型村民'],
36,simple well,シンプルないど,簡約水井,家具,FtrWell,200,"[{'count': 15, 'itemName': '石頭'}, {'count': 1, 'itemName': '簡陋鏟子'}]",['哩數兌換'],
37,pot,かめ,甕,小物件,FtrKame_Remake_0_0,200,"[{'count': 5, 'itemName': '黏土'}]","['狸克', '暴躁型村民']",在村民房屋開發任務的主要故事情節中獲得
38,wooden-block toy,つみきのおもちゃ,積木玩具,小物件,FtrBlockBrick_Remake_0_0,200,"[{'count': 3, 'itemName': '軟木材'}]",['DIY初學者'],"從Nook商店購買""第一次的DIY方程式"""
41,birdhouse,すばこ,鳥巢屋,家具,FtrBirdhouse_Remake_0_0,200,"[{'count': 2, 'itemName': '木材'}, {'count': 5, 'itemName': '軟木材'}]","['狸克', '活力型村民']",
42,birdbath,バードバス,小鳥水盆,家具,FtrBirdbus_Remake_0_0,200,"[{'count': 6, 'itemName': '石頭'}]","['狸克', '成熟型村民']",50% chance of being obtained during the main storyline during the villager house development quest
43,ringtoss,わなげ,套圈圈,小物件,FtrQuoits_Remake_0_0,200,"[{'count': 2, 'itemName': '木材'}, {'count': 2, 'itemName': '軟木材'}]",['挑戰！DIY方程式'],Purchase Test Your DIY Skills from Nook's Cranny
