id,type,name_c,name_j,name_e,buy,sell,category,tag,themes,series,interact,size,obtainedFrom,DIY,diyInfoMaterials,diyInfoObtainedFrom,diyInfoSourceNotes,bodyTitle,patternTitle,bodyCustomize,patternCustomize,filename,version,variations
80,furnitures,學步推車,ておしぐるま,clackercart,,960,家具,玩具,['兒童房'],無,False,1x1,DIY,True,"[{'count': 2, 'itemName': '硬木材'}, {'count': 6, 'itemName': '軟木材'}]",['悠閒型村民'],,油漆,無,True,False,FtrKatakatatoy_Remake_0_0,1.0.0,"{'bodys': {'自然色': '0', '彩色': '1', '繽紛色': '2', '酷感色': '3', '粉嫩色': '4', '可愛色': '5'}, 'pattrens': {}}"
83,furnitures,木馬,もくば,rocking horse,,600,家具,玩具,"['兒童房', '奇幻']",無,True,1x1,DIY,True,"[{'count': 5, 'itemName': '軟木材'}]",['普通型村民'],,油漆,無,True,False,FtrRockinghorse_Remake_0_0,1.0.0,"{'bodys': {'自然色': '0', '彩色': '1', '白色': '2', '粉嫩色': '3', '藍色': '4', '繽紛色': '5'}, 'pattrens': {}}"
85,furnitures,鐵道模型,てつどうもけい,train set,7900,1975,家具,玩具,['兒童房'],無,True,2x2,Nook商店,False,,,,無,無,False,False,FtrRailroad_Remake_0_0,1.0.0,"{'bodys': {'春': '0', '夏': '1', '秋': '2', '冬': '3'}, 'pattrens': {}}"
86,furnitures,大象溜滑梯,ゾウのすべりだい,elephant slide,4200,1050,家具,操場,"['庭園', '兒童房']",無,False,2x1,Nook商店,False,,,,無,無,False,False,FtrSlideelephant_Remake_0_0,1.0.0,"{'bodys': {'藍色': '0', '粉紅色': '1', '紅色': '2', '淺藍色': '3', '黃色': '4', '白色': '5', '灰色': '6', '黑色': '7'}, 'pattrens': {}}"
88,furnitures,套圈圈,わなげ,ringtoss,,480,小物件,玩具,"['兒童房', '奇幻']",無,False,1x1,DIY,True,"[{'count': 2, 'itemName': '木材'}, {'count': 2, 'itemName': '軟木材'}]",['挑戰！DIY方程式'],從Nook商店購買第一次的DIY方程式,油漆,無,True,False,FtrQuoits_Remake_0_0,1.0.0,"{'bodys': {'自然色': '0', '彩色': '1', '粉嫩色': '2', '酷感色': '3'}, 'pattrens': {}}"
109,furnitures,青苔球,こけだま,moss ball,720,180,小物件,植物,['東洋風'],無,False,1x1,Nook商店,False,,,,無,無,False,False,FtrBonsaiKokedama,1.0.0,"{'bodys': {}, 'pattrens': {}}"
131,furnitures,招財貓,まねきねこ,lucky cat,,1675,小物件,商店,"['民藝', '東洋風']",無,False,1x1,呂遊,False,,,,種類,無,True,False,FtrManekineko_Remake_0_0,1.0.0,"{'bodys': {'白色': '0', '黑色': '1'}, 'pattrens': {}}"
132,furnitures,多肉植物,たにくしょくぶつ,succulent plant,,220,小物件,植物,['客廳'],無,False,1x1,DIY,True,"[{'count': 10, 'itemName': '雜草'}, {'count': 1, 'itemName': '空罐'}]",['釣魚'],釣到一個空罐頭,無,無,False,False,FtrPlantSucculents,1.0.0,"{'bodys': {}, 'pattrens': {}}"
144,furnitures,人孔蓋,マンホール,manhole cover,,2250,家具,車輛,['庭園'],無,True,1x1,DIY,True,"[{'count': 3, 'itemName': '鐵礦石'}]",['購物：哩數兌換'],,蓋子設計,無,True,False,FtrManhole_Remake_0_0,1.0.0,"{'bodys': {'銀色': '0', '銅色': '1', '山': '2', '船': '3', '城堡': '4'}, 'pattrens': {}}"
146,furnitures,三角錐,パイロン,cone,630,157,家具,車輛,"['設施', '車庫']",無,False,1x1,Nook商店,False,,,,無,無,False,False,FtrPylon_Remake_0_0,1.0.0,"{'bodys': {'紅色': '0', '藍色': '1', '黃色': '2', '白色': '3', '紅色條紋': '4', '綠色條紋': '5', '附反射板': '6', '危險': '7'}, 'pattrens': {}}"
287,furnitures,健身腳踏車,エクササイズバイク,exercise bike,4800,1200,家具,運動,['健身'],無,True,1x1,Nook商店,False,,,,無,無,False,False,FtrExercisebike_Remake_0_0,1.0.0,"{'bodys': {'黑色': '0', '紅色': '1', '黃色': '2', '白色': '3'}, 'pattrens': {}}"
290,furnitures,跑步機,ランニングマシン,treadmill,64000,16000,家具,運動,['健身'],無,True,2x1,Nook商店,False,,,,無,無,False,False,FtrRunningmachine_Remake_0_0,1.0.0,"{'bodys': {'黑色': '0', '紅色': '1', '藍色': '2', '白色': '3'}, 'pattrens': {}}"
330,furnitures,烤肉爐,バーベキューグリル,barbecue,2500,625,家具,戶外裝飾,['戶外'],無,True,1x1,Nook商店,False,,,,無,無,False,False,FtrBarbecuegrill_Remake_0_0,1.0.0,"{'bodys': {'紅色': '0', '黃色': '1', '綠色': '2', '白色': '3', '黑色': '4'}, 'pattrens': {}}"
