id,type,category,name_c,name_j,name_e,obtainedFrom,buy,sell,themes,series,DIY,diyInfoMaterials,diyInfoObtainedFrom,diyInfoSourceNotes,filename,version
4795,homeStyle,壁紙,常見牆,よくあるかべ,common wall,Nook商店,800,200,"['客廳', '學校']",無,False,,,,RoomTexWallCommon00,1.0.0
4797,homeStyle,地板,地下室地板,ちかしつのゆか,basement flooring,DIY,,1500,"['恐怖', '設施']",無,True,"[{'count': 10, 'itemName': '石頭'}]",['自戀型村民'],,RoomTexFloorBasement00,1.0.0
4801,homeStyle,壁紙,鋼筋牆,てっこつのかべ,steel-frame wall,DIY,,6000,"['車庫', '設施']",無,True,"[{'count': 8, 'itemName': '鐵礦石'}]",['自戀型村民'],,RoomTexWallSteel00,1.0.0
4802,homeStyle,壁紙,粉紅油漆木牆,ピンクのペイントウッドのかべ,pink painted-wood wall,Nook商店,1650,412,"['奇幻', '兒童房']",無,False,,,,RoomTexWallPaintWood02,1.0.0
4803,homeStyle,壁紙,白色油漆木牆,しろいペイントウッドのかべ,white painted-wood wall,Nook商店,1650,412,"['客廳', '兒童房']",無,False,,,,RoomTexWallPaintWood03,1.0.0
4804,homeStyle,壁紙,茶色人字斜紋牆,ちゃいろいヘリンボーンのかべ,brown herringbone wall,DIY,,1800,"['客廳', '商店']",無,True,"[{'count': 15, 'itemName': '軟木材'}]",['大姐姐型村民'],,RoomTexWallHerringbone00,1.0.0
4805,homeStyle,壁紙,深棕色人字斜紋牆,こげちゃのヘリンボーンのかべ,chocolate herringbone wall,DIY,,1800,"['客廳', '商店']",無,True,"[{'count': 15, 'itemName': '軟木材'}]",['自戀型村民'],,RoomTexWallHerringbone01,1.0.0
4806,homeStyle,壁紙,茶色大廳牆,ちゃいろいホールのかべ,brown hallway wall,Nook商店,2000,500,"['設施', '音樂']",無,False,,,,RoomTexWallHall00,1.0.0
4807,homeStyle,壁紙,深棕色大廳牆,こげちゃのホールのかべ,chocolate hallway wall,Nook商店,2000,500,"['設施', '音樂']",無,False,,,,RoomTexWallHall01,1.0.0
4808,homeStyle,壁紙,黃色油漆牆,きいろいペイントウォール,yellow-paint wall,Nook商店,1600,400,"['奇幻', '兒童房']",無,False,,,,RoomTexWallStucco00,1.0.0
4809,homeStyle,壁紙,橘色油漆牆,オレンジのペイントウォール,orange-paint wall,Nook商店,1600,400,"['奇幻', '兒童房']",無,False,,,,RoomTexWallStucco01,1.0.0
4811,homeStyle,壁紙,藍色油漆牆,あおいペイントウォール,blue-paint wall,Nook商店,1600,400,"['奇幻', '客廳']",無,False,,,,RoomTexWallStucco03,1.0.0
4812,homeStyle,壁紙,綠色油漆牆,みどりのペイントウォール,green-paint wall,Nook商店,1600,400,"['奇幻', '客廳']",無,False,,,,RoomTexWallStucco04,1.0.0
